id,denominazione,tipologia,indirizzo,quartiere,classificazione,posti_letto,camere,stato,tariffa_min,tariffa_max,lat,lon,data_inizio_attivita,comune
545,TORRE DEL PARCO 1419,residence,VIALE TORRE DEL PARCO 1,,4,,,ATTIVO,,,,,,Comune di Lecce
546,TWIN TOWERS ROOM,affittacamere,VIA GENTILE 27 - P.3° - SCALA B,,,,,ATTIVO,,,,,,Comune di Lecce
547,URBAN OASIS  HOSTEL,affittacamere,VIA NICOLA CATALDI 3 PT,LECCE,,,,ATTIVO,,,,,,Comune di Lecce
548,URBAN OASIS PRIVATE ROOMS,affittacamere,VIA NICOLA CATALDI 3 P1,LECCE,,,,ATTIVO,,,,,,Comune di Lecce
549,URBAN SUITE,casa_vacanza,VIA ADA CUDAZZO,,,,,ATTIVO,,,,,,Comune di Lecce
550,URBAN SUITE,casa_vacanza,VIA DOMENICO ACCLAVIO,,,,,ATTIVO,,,,,,Comune di Lecce
551,VIA TURATI,casa_vacanza,VIA TURATI 31,,,,,ATTIVO,,,,,,Comune di Lecce
552,VILLA MAGGIULLI ALFIERI,affittacamere,VIA MATERDOMINI. 10,,,,,ATTIVO,,,,,,Comune di Lecce
553,VILLA MIMINA,affittacamere,VIA SANDALO 2,,,,,ATTIVO,,,,,,Comune di Lecce
554,YARCILLOS LUXURY ROOMS,affittacamere,VIALE DELL'UNIVERSITA' 87,,,,,ATTIVO,,,,,,Comune di Lecce
555,RELAIS SANTA CROCE,affittacamere,VIA IDOMENEO 68/A,,,,,ATTIVO,,,,,04/07/2018,Comune di Lecce
556,AZIENDA AGRICOLA LO PRESTI ILLUMINATA,affittacamere,S.P. 236 SURBO-CASALABATE 208,,,,,ATTIVO,,,,,,Comune di Lecce
